Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2011-02-24,24.8,24.85,22.8,23.05,23.7219688445,889537.0,2460.0,21101569.0,266568.0,29.97,2.05,-1.75
2011-02-25,23.5,23.95,22.65,23.35,23.2680769305,625604.0,1983.0,14556602.0,189716.0,30.33,1.3,-0.15
2011-02-28,24.0,24.5,22.4,22.5,23.5743072879,1191404.0,3680.0,28086524.0,321137.0,26.95,2.1,-1.5
2011-03-01,23.25,23.6,22.6,23.35,23.2101823663,670080.0,2052.0,15552679.0,203484.0,30.37,1.0,0.1
2011-03-03,22.9,23.35,22.65,22.8,22.9410924928,456003.0,1246.0,10461207.0,159701.0,35.02,0.7,-0.1
2011-03-04,23.1,24.1,22.9,23.2,23.5213112648,934060.0,2661.0,21970316.0,194026.0,20.77,1.2,0.1
2011-03-07,23.2,23.2,22.2,22.55,22.5608223181,413368.0,1187.0,9325922.0,115564.0,27.96,1.0,-0.65
2011-03-08,22.85,23.2,22.45,22.7,22.7917030547,425964.0,1327.0,9708445.0,115772.0,27.18,0.75,-0.15
2011-03-09,22.95,23.3,22.2,22.3,22.5154759603,760179.0,1645.0,17115792.0,294183.0,38.7,1.1,-0.65
2011-03-10,22.3,22.5,21.9,22.0,22.1093757957,412349.0,1135.0,9116779.0,180207.0,43.7,0.6,-0.3
2011-03-11,21.8,22.25,21.45,21.55,21.7506922164,364048.0,1426.0,7918296.0,119280.0,32.76,0.8,-0.25
2011-03-14,21.4,21.8,20.95,21.1,21.2919181552,384875.0,1159.0,8194727.0,170564.0,44.32,0.85,-0.3
2011-03-15,20.8,20.9,20.0,20.65,20.6132082784,399931.0,1143.0,8243861.0,132635.0,33.16,0.9,-0.15
2011-03-16,20.9,21.65,20.75,20.8,21.1263977737,394556.0,1105.0,8335547.0,164292.0,41.64,0.9,-0.1
2011-03-17,20.1,21.9,20.1,20.75,21.0632810945,407041.0,1255.0,8573619.0,127933.0,31.43,1.8,0.65
2011-03-18,21.25,21.3,20.35,20.4,20.6154782321,447816.0,1111.0,9231941.0,172919.0,38.61,0.95,-0.85
2011-03-21,20.7,20.8,19.95,20.1,20.2001688688,792331.0,1036.0,16005220.0,600267.0,75.76,0.85,-0.6
2011-03-22,20.1,20.45,19.85,19.9,20.0992057267,242234.0,879.0,4868711.0,130681.0,53.95,0.6,-0.2
2011-03-23,20.0,23.25,19.8,22.8,22.3755744453,2587061.0,6865.0,57886976.0,768211.0,29.69,3.45,2.8
2011-03-24,22.8,24.4,22.35,23.75,23.2586314438,2028079.0,5814.0,47170342.0,625436.0,30.84,2.05,0.95
2011-03-25,24.0,25.1,23.4,24.0,24.1367157221,1662947.0,4449.0,40138079.0,605537.0,36.41,1.7,0.0
2011-03-28,24.0,24.7,23.7,24.15,24.1784184803,724101.0,1913.0,17507617.0,245758.0,33.94,1.0,0.15
2011-03-29,24.15,24.6,23.55,23.8,24.0680533888,1087793.0,1796.0,26181060.0,640288.0,58.86,1.05,-0.35
2011-03-30,23.9,24.6,23.75,23.95,24.1919515415,600761.0,1515.0,14533581.0,160191.0,26.66,0.85,0.05
2011-03-31,24.2,24.25,23.0,23.25,23.3814430203,554961.0,1034.0,12975789.0,391014.0,70.46,1.25,-0.95
2011-04-01,23.75,25.5,23.1,25.1,24.459389752,1169754.0,2630.0,28611469.0,503378.0,43.03,2.4,1.35
2011-04-04,25.1,26.8,24.65,26.2,26.0381938973,2456073.0,6126.0,63951705.0,699166.0,28.47,2.15,1.1
2011-04-05,26.2,27.1,25.4,26.4,26.4076292129,1323649.0,3843.0,34954432.0,328867.0,24.85,1.7,0.2
2011-04-06,26.5,26.95,25.2,25.5,25.96989635,1156006.0,3094.0,30021356.0,472574.0,40.88,1.75,-1.0
2011-04-07,25.75,25.95,24.75,24.95,25.2898740586,598453.0,1399.0,15134801.0,375185.0,62.69,1.2,-0.8
2011-04-08,25.25,25.45,24.3,24.5,24.8441925239,562964.0,1846.0,13986386.0,256531.0,45.57,1.15,-0.75
2011-04-11,24.75,24.75,23.5,23.65,23.7443835283,526042.0,1482.0,12490543.0,286032.0,54.37,1.25,-1.1
2011-04-13,23.65,24.35,23.25,23.95,23.9555492924,596076.0,1430.0,14279328.0,331729.0,55.65,1.1,0.3
2011-04-15,23.75,24.5,23.3,23.55,23.8248540842,638382.0,1965.0,15209358.0,201788.0,31.61,1.2,-0.2
2011-04-18,23.55,24.05,22.6,22.85,23.3384652783,468958.0,2065.0,10944760.0,226379.0,48.27,1.45,-0.7
2011-04-19,22.5,24.3,22.5,23.75,23.5713579885,1445108.0,3620.0,34063158.0,408518.0,28.27,1.8,1.25
2011-04-20,24.1,25.15,23.75,24.7,24.5642591238,1537875.0,3709.0,37776760.0,454428.0,29.55,1.4,0.6
2011-04-21,24.9,25.15,24.15,24.25,24.6594642138,744700.0,2231.0,18363903.0,228813.0,30.73,1.0,-0.65
2011-04-25,24.75,24.75,23.85,23.95,24.2917101683,248075.0,1023.0,6026166.0,95588.0,38.53,0.9,-0.8
2011-04-26,24.2,24.75,23.65,23.75,24.1816797068,428039.0,1237.0,10350702.0,131698.0,30.77,1.1,-0.45
